,research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,utility_rater02,original_translated
0,CES201606,871,20,belt,als meting van het gewicht gebruiken,meting gewicht,measurement weight,3,use as a weight measurement
1,CES201606,1111,25,belt,als mobiel boven een babybed met door de gaatjes heen van die speeltjes,mobiel boven babybed gaatjes heen speeltjes,mobile above baby bed holes with toys,4,as a mobile above a baby bed with those toys through the holes
2,CES201606,869,20,belt,een modestatement maken,modestatement,fashion statement,5,make a fashion statement
3,CES201606,502,16,belt,moordwapen,moordwapen,murder weapon,5,murder weapon
4,CES201606,1885,46,belt,moordwapen,moordwapen,murder weapon,5,murder weapon
5,CES201606,2038,49,belt,moordwapen,moordwapen,murder weapon,5,murder weapon
6,CES201606,1889,46,belt,muurbeugel,muurbeugel,wall bracket,1,wall bracket
7,CES201606,1361,30,belt,naald en draad,naald draad,needle thread,2,needle and thread
8,CES201606,579,17,belt,neerleggen,neerleggen,put down,1,lay down
9,CES201606,764,19,belt,de omvang mee meten van iemand,omvang meten,measure size,4,measure the size of someone
10,CES201606,2133,51,belt,onder iets laags stoppen om iets eronder uit te krijgen,onder laag stoppen eronder krijgen,under low stop get underneath,3,put under something low to get something out from under it
11,CES201606,872,20,belt,als ondersteuning bij gewichtheffen,ondersteuning gewichtheffen,support weight lifting,3,as support for weightlifting
12,CES201606,1160,26,belt,gebruiken om bijvoorbeeld een klapperende deur of raam mee vast te zetten,oorbeeld klapperende deur raam vast zetten,"For example, fix rattling door and window",3,use to secure a rattling door or window for example
13,CES201606,1054,24,belt,je kunt er iets mee ophangen,ophangen,hang,4,you can hang something with it
14,CES201606,1403,35,belt,er wat aan ophangen,ophangen,hang,4,hang something on it
15,CES201606,1568,39,belt,iets ophangen,ophangen,hang,4,hang something
16,CES201606,355,14,belt,ophangen aan de muur als decoratie,ophangen muur decoratie,hanging wall decoration,4,hang on the wall as decoration
17,CES201606,759,19,belt,ophangen en dan onder limbodansen,ophangen onder limbo dansen,hang up under limbo dancing,4,hang it and then limbo dance under it
18,CES201606,505,16,belt,ophangtool,ophangtool,hanging tool,4,hanging tool
19,CES201606,578,17,belt,oprapen,oprapen,pick up,3,pick it up
20,CES201606,580,17,belt,aan een paal vastbinden,paal vastbinden,tie up pole,2,tie it to a pole
21,CES201606,357,14,belt,gebruiken om een paardrijzadel vast te maken,paardrijzadel vast,riding saddle,5,use it to fasten a riding saddle
22,CES201606,1465,36,belt,om pakketje binden,pakketje binden,bind package,5,to tie a package
23,CES201606,1364,30,belt,paperclip,paperclip,paperclip,1,paper clip
24,CES201606,2041,49,belt,plant aan ophangen,plant ophangen,hang up plant,4,hang a plant on
25,CES201606,216,12,belt,een plint,plint,plinth,1,a skirting board
26,CES201606,1890,46,belt,poetslap,poetslap,cleaning rag,2,cleaning rag
27,CES201606,1009,22,belt,riem over boedelbak binden,riem boedelbak binden,tie belt to estate bin,0,tie a belt over a box
28,CES201606,267,13,belt,je kan een riem gebruiken om een boom in te klimmen,riem boom klimmen,strap tree climbing,4,you can use a belt to climb a tree
