research_id,response_id,object,original_response,respondent_id,cleaned_response,translated_response,originality_rater01,utility_rater01,originality_rater02,utility_rater02
NAT202402,14293,brick,paper toy,1,paper toy,paper toy,3,0,,
NAT202402,14305,brick,phone booth,1,phone booth,phone booth,1,2,,
NAT202402,14312,brick,paper toy,2,paper toy,paper toy,3,0,,
NAT202402,14324,brick,phone booth,2,phone booth,phone booth,1,2,,
NAT202402,14331,brick,paper toy,3,paper toy,paper toy,3,0,,
NAT202402,14343,brick,phone booth,3,phone booth,phone booth,1,2,,
NAT202402,14350,brick,paper toy,4,paper toy,paper toy,3,0,,
NAT202402,14362,brick,phone booth,4,phone booth,phone booth,1,2,,
NAT202402,14369,brick,paper toy,5,paper toy,paper toy,3,0,,
NAT202402,14381,brick,phone booth,5,phone booth,phone booth,1,2,,
NAT202402,14394,brick,chalkboard,6,chalkboard,chalkboard,3,3,,
NAT202402,14426,brick,paper toy,8,paper toy,paper toy,3,0,,
NAT202402,14445,brick,paper toy,9,paper toy,paper toy,3,0,,
NAT202402,14449,brick,paper shredder,9,paper shredder,paper shredder,3,1,,
NAT202402,14520,brick,paper toy,13,paper toy,paper toy,3,0,,
NAT202402,14557,brick,paper toy,15,paper toy,paper toy,3,0,,
NAT202402,14561,brick,paper shredder,15,paper shredder,paper shredder,3,1,,
NAT202402,14577,brick,paper toy,16,paper toy,paper toy,3,0,,
NAT202402,14581,brick,paper shredder,16,paper shredder,paper shredder,3,1,,
NAT202402,14597,brick,paper toy,17,paper toy,paper toy,3,0,,
NAT202402,14601,brick,paper shredder,17,paper shredder,paper shredder,3,1,,
NAT202402,14616,brick,paper wrap,18,paper wrap,paper wrap,2,0,,
NAT202402,14677,brick,paper brick,21,paper,paper,1,1,,
NAT202402,14689,brick,chalkboard,21,chalkboard,chalkboard,3,3,,
NAT202402,14696,brick,paper brick,22,paper,paper,1,1,,
NAT202402,14705,brick,brick layer,22,layer,layer,1,4,,
NAT202402,14717,brick,paper,23,paper,paper,1,1,,
NAT202402,14735,brick,paper brick,24,paper,paper,1,1,,
NAT202402,14738,brick,ruler,24,ruler,ruler,3,4,,
NAT202402,14755,brick,paper,25,paper,paper,1,1,,
NAT202402,14792,brick,paper,27,paper,paper,1,1,,
NAT202402,14821,brick,paper,28,paper,paper,1,1,,
NAT202402,14832,brick,paper,29,paper,paper,1,1,,
NAT202402,14851,brick,paper bricks,30,paper,paper,1,1,,
NAT202402,14897,brick,paper,32,paper,paper,1,1,,
NAT202402,14911,brick,paper toy,33,paper toy,paper toy,3,0,,
NAT202402,14913,brick,paper brick,33,paper,paper,1,1,,
NAT202402,14934,brick,hourglass,34,hourglass,hourglass,3,1,,
NAT202402,14935,brick,paper toy,34,paper toy,paper toy,3,0,,
NAT202402,14973,brick,paper,36,paper,paper,1,1,,
NAT202402,14989,brick,paper,37,paper,paper,1,1,,
NAT202402,15003,brick,chalkboard,37,chalkboard,chalkboard,3,3,,
NAT202402,15004,brick,coaster,37,coaster,coaster,2,5,,
NAT202402,15013,brick,paper toy,38,paper toy,paper toy,3,0,,
NAT202402,15024,brick,puzzle,38,puzzle,puzzle,3,2,,
NAT202402,15033,brick,coaster,39,coaster,coaster,2,5,,
NAT202402,15051,brick,paper brick,40,paper,paper,1,1,,
NAT202402,15060,brick,dartboard,40,dartboard,dartboard,3,2,,
NAT202402,15070,brick,paper,41,paper,paper,1,1,,
NAT202402,15131,brick,paper toy,44,paper toy,paper toy,3,0,,
NAT202402,15135,brick,word puzzle,44,word puzzle,word puzzle,3,2,,
NAT202402,15147,brick,paper art,45,paper art,paper art,2,1,,
NAT202402,15163,brick,chalkboard,45,chalkboard,chalkboard,3,3,,
NAT202402,15178,brick,filing system,46,filing system,filing system,3,2,,
NAT202402,15185,brick,paper sheet,47,paper sheet,paper sheet,2,1,,
NAT202402,15186,brick,chalkboard,47,chalkboard,chalkboard,3,3,,
NAT202402,15189,brick,paper storage,47,paper storage,paper storage,2,4,,
NAT202402,15217,brick,chalkboard,48,chalkboard,chalkboard,3,3,,
NAT202402,15220,brick,outline,48,outline,outline,2,5,,
NAT202402,15224,brick,paper coaster,49,paper coaster,paper coaster,2,0,,
NAT202402,15225,brick,puzzle,49,puzzle,puzzle,3,2,,
NAT202402,15238,brick,paper mache,49,paper mache,paper mache,2,2,,
NAT202402,15247,brick,chalkboard,50,chalkboard,chalkboard,3,3,,
NAT202402,15260,brick,paper,50,paper,paper,1,1,,
NAT202402,15277,brick,letter carrier,51,letter carrier,letter carrier,2,3,,
NAT202402,15305,brick,paper,53,paper,paper,1,1,,
NAT202402,15343,brick,papercraft,55,papercraft,papercraft,3,1,,
NAT202402,15347,brick,chalkboard,55,chalkboard,chalkboard,3,3,,
NAT202402,16404,brick,coaster,111,coaster,coaster,2,5,,
NAT202402,16408,brick,chalkboard,111,chalkboard,chalkboard,3,3,,
