,research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,utility_rater02,original_translated
0,CES201606,871.0,20,belt,als meting van het gewicht gebruiken,meting gewicht,measurement weight,3,use as a weight measurement
1,CES201606,1111.0,25,belt,als mobiel boven een babybed met door de gaatjes heen van die speeltjes,mobiel boven babybed gaatjes heen speeltjes,mobile above baby bed holes with toys,4,as a mobile above a baby bed with those toys through the holes
2,CES201606,869.0,20,belt,een modestatement maken,modestatement,fashion statement,5,make a fashion statement
3,CES201606,502.0,16,belt,moordwapen,moordwapen,murder weapon,5,murder weapon
4,CES201606,1885.0,46,belt,moordwapen,moordwapen,murder weapon,5,murder weapon
5,CES201606,2038.0,49,belt,moordwapen ,moordwapen,murder weapon,5,murder weapon
6,CES201606,1889.0,46,belt,muurbeugel,muurbeugel,wall bracket,1,wall bracket
7,CES201606,1361.0,30,belt,naald en draad,naald draad,needle thread,2,needle and thread
8,CES201606,579.0,17,belt,neerleggen,neerleggen,put down,1,lay down
9,CES201606,764.0,19,belt,de omvang mee meten van iemand,omvang meten,measure size,4,measure the size of someone
10,CES201606,2133.0,51,belt,onder iets laags stoppen om iets eronder uit te krijgen,onder laag stoppen eronder krijgen,under low stop get underneath,3,put under something low to get something out from under it
11,CES201606,872.0,20,belt,als ondersteuning bij gewichtheffen,ondersteuning gewichtheffen,support weight lifting,3,as support for weightlifting
12,CES201606,1160.0,26,belt,gebruiken om bijvoorbeeld een klapperende deur of raam mee vast te zetten,oorbeeld klapperende deur raam vast zetten,"For example, fix rattling door and window",3,use to secure a rattling door or window for example
13,CES201606,1054.0,24,belt,je kunt er iets mee ophangen,ophangen,hang,4,you can hang something with it
14,CES201606,1403.0,35,belt,er wat aan ophangen,ophangen,hang,4,hang something on it
15,CES201606,1568.0,39,belt,iets ophangen,ophangen,hang,4,hang something
16,CES201606,355.0,14,belt,ophangen aan de muur als decoratie,ophangen muur decoratie,hanging wall decoration,4,hang on the wall as decoration
17,CES201606,759.0,19,belt,ophangen en dan onder limbodansen,ophangen onder limbo dansen,hang up under limbo dancing,4,hang it and then limbo dance under it
18,CES201606,505.0,16,belt,ophangtool,ophangtool,hanging tool,4,hanging tool
19,CES201606,578.0,17,belt,oprapen,oprapen,pick up,3,pick it up
20,CES201606,580.0,17,belt,aan een paal vastbinden,paal vastbinden,tie up pole,2,tie it to a pole
