research_id,response_id,respondent_id,object,original_response,cleaned_response,original_translated,translated_response,utility_rater02
CES201606,871,20,belt,als meting van het gewicht gebruiken,meting gewicht,use as a weight measurement,measurement weight,
CES201606,1111,25,belt,als mobiel boven een babybed met door de gaatjes heen van die speeltjes,mobiel boven babybed gaatjes heen speeltjes,as a mobile above a baby bed with those toys through the holes,mobile above baby bed holes with toys,
CES201606,869,20,belt,een modestatement maken,modestatement,make a fashion statement,fashion statement,
CES201606,502,16,belt,moordwapen,moordwapen,murder weapon,murder weapon,
CES201606,1885,46,belt,moordwapen,moordwapen,murder weapon,murder weapon,
CES201606,2038,49,belt,moordwapen ,moordwapen,murder weapon,murder weapon,
CES201606,1889,46,belt,muurbeugel,muurbeugel,wall bracket,wall bracket,
CES201606,1361,30,belt,naald en draad,naald draad,needle and thread,needle thread,
CES201606,579,17,belt,neerleggen,neerleggen,lay down,put down,
CES201606,764,19,belt,de omvang mee meten van iemand,omvang meten,measure the size of someone,measure size,
CES201606,2133,51,belt,onder iets laags stoppen om iets eronder uit te krijgen,onder laag stoppen eronder krijgen,put under something low to get something out from under it,under low stop get underneath,
CES201606,872,20,belt,als ondersteuning bij gewichtheffen,ondersteuning gewichtheffen,as support for weightlifting,support weight lifting,
CES201606,1160,26,belt,gebruiken om bijvoorbeeld een klapperende deur of raam mee vast te zetten,oorbeeld klapperende deur raam vast zetten,use to secure a rattling door or window for example,"For example, fix rattling door and window",
CES201606,1054,24,belt,je kunt er iets mee ophangen,ophangen,you can hang something with it,hang,
CES201606,1403,35,belt,er wat aan ophangen,ophangen,hang something on it,hang,
CES201606,1568,39,belt,iets ophangen,ophangen,hang something,hang,
CES201606,355,14,belt,ophangen aan de muur als decoratie,ophangen muur decoratie,hang on the wall as decoration,hanging wall decoration,
CES201606,759,19,belt,ophangen en dan onder limbodansen,ophangen onder limbo dansen,hang it and then limbo dance under it,hang up under limbo dancing,
CES201606,505,16,belt,ophangtool,ophangtool,hanging tool,hanging tool,
CES201606,578,17,belt,oprapen,oprapen,pick it up,pick up,
CES201606,580,17,belt,aan een paal vastbinden,paal vastbinden,tie it to a pole,tie up pole,
CES201606,357,14,belt,gebruiken om een paardrijzadel vast te maken,paardrijzadel vast,use it to fasten a riding saddle,riding saddle,
CES201606,1465,36,belt,om pakketje binden,pakketje binden,to tie a package,bind package,
CES201606,1364,30,belt,paperclip,paperclip,paper clip,paperclip,
CES201606,2041,49,belt,plant aan ophangen,plant ophangen,hang a plant on,hang up plant,
CES201606,216,12,belt,een plint,plint,a skirting board,plinth,
CES201606,1890,46,belt,poetslap,poetslap,cleaning rag,cleaning rag,
CES201606,1009,22,belt,riem over boedelbak binden,riem boedelbak binden,tie a belt over a box,tie belt to estate bin,
CES201606,267,13,belt,je kan een riem gebruiken om een boom in te klimmen,riem boom klimmen,you can use a belt to climb a tree,strap tree climbing,
CES201606,1699,43,belt,riem dicht doen en dan kan je daar weer andere dingen aan hangen,riem dicht weer dingen hangen,fasten the belt and then you can hang other things on it,belt close again hang things,
CES201606,437,15,belt,je kunt met een riem handen boeien,riem handen boeien,you can use a belt to cuff hands,strap hands cuffs,
CES201606,264,13,belt,je kan een riem gebruiken om spieren mee te strekken en zo leniger te worden ,riem spieren strekken leniger,you can use a belt to stretch muscles and so on to become more flexible,belt muscles stretch more limber,
CES201606,269,13,belt,je kan een riem als tas gebruiken,riem tas,you can use a belt as a bag,belt bag,
CES201606,218,12,belt,schoenen,schoenen,shoes,shoes,
CES201606,977,23,belt,schoenveter,schoenveter,shoelace,shoelace,
CES201606,1805,45,belt,schommel,schommel,swing,swing set,
CES201606,1888,46,belt,schommel,schommel,swing,swing set,
CES201606,762,19,belt,om iets mee te schuren,schuren,to rub something with,sand,
CES201606,1880,46,belt,sekspeeltje,seksspeeltje,sex toy,sex toy,
CES201606,2110,50,belt,op sexy wijze door je bilnaad halen,sexy wijze bilnaad halen,sexily pull it through your buttocks,sexy buttocks,
CES201606,866,20,belt,als sierobject,sierobject,as a decorative object,ornamental object,
CES201606,576,17,belt,iemand slaan,slaan,hit someone,beat,
