research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater01,utility_rater01
CES201606,584,17,stick,iemand aaien,aaien,pet,3,5
CES201606,998,23,stick,iets aanwijzen,aanwijzen,assign,2,5
CES201606,1653,42,stick,iets aanwijsen,aanwijzen,assign,2,5
CES201606,2005,48,stick,iets aanwijzen,aanwijzen,assign,2,5
CES201606,228,12,stick,een aanwijzer,aanwijzer,pointer,2,5
CES201606,1502,37,stick,aanwijzer,aanwijzer,pointer,2,5
CES201606,787,19,stick,om iets af te dekken,af dekken,cover,3,2
CES201606,992,23,stick,afbakening,afbakening,demarcation,3,4
CES201606,776,19,stick,om een afbakening aan te duiden,afbakening duiden,indicate demarcation,3,4
CES201606,2147.1,51,stick,afscheiding,afscheiding,secretion,3,4
CES201606,885,20,stick,doen alsof je erop kunt vliegen,alsof erop vliegen,as if flying on it,3,5
CES201606,883,20,stick,doen alsof het een toverstaf is,alsof toverstaf,as if magic wand,3,5
CES201606,2142.2,51,stick, appels uit appelboom,appels appelboom,apples apple tree,0,0
CES201606,1167,26,stick,apporteren,apporteren,fetch,1,1
CES201606,1899,46,stick,bal,bal,ball,0,0
CES201606,591,17,stick,begraven,begraven,bury,2,4
CES201606,1605,40,stick,beaschilderen als kunsrvoorwerp,beschilderen kunstvoorwerp,painting art object,3,3
CES201606,1702,43,stick,bestek,bestek,specifications,3,4
CES201606,1368,30,stick,betonnenafgietsel in een mal,betonnen afgietsel mal,concrete casting mold,3,3
CES201606,884,20,stick,als bezemsteel gebruiken,bezemsteel,broomstick,2,3
CES201606,371,14,stick,op bijten als je heel veel pijn krijgt (als je been eraf wordt gezaagd zonder verdoving),bijten heel pijn krijgt,biting becomes very painful,3,4
CES201606,1367,30,stick,blaaspijpje,blaaspijpje,blowpipe,4,3
CES201606,1116,25,stick,boomerang,boemerang,boomerang,4,3
CES201606,2011,48,stick,boomhut,boomhut,Treehouse,2,3
CES201606,2002,48,stick,boshut bouwen,boshut bouwen,build forest hut,2,3
CES201606,370,14,stick,als brandhout gebruiken,brandhout,firewood,1,5
CES201606,510,16,stick,brandhout,brandhout,firewood,1,5
CES201606,2044,49,stick,brandstof,brandstof,fuel,1,5
CES201606,778,19,stick,om te breken,breken,break,1,4
CES201606,2121,50,stick,breken,breken,break,1,4
CES201606,2010,48,stick,brug bouwen,brug bouwen,build bridge,2,3
CES201606,1164,26,stick,gebruiken om constructies mee te verstevingen,constructies verstevigen,strengthen structures,2,3
CES201606,2146,51,stick,dakje maken van stokken en doeken,dakje stokken doeken,roof sticks cloths,3,3
CES201606,586,17,stick,dansen,dansen,dancing,0,0
CES201606,1574,39,stick,als decoratie in huis,decoratie huis,decoration house,3,3
CES201606,1742,44,stick,deegroller,deegroller,rolling pin,3,3
CES201606,2043,49,stick,degen,degen,epee,3,4
CES201606,1892,46,stick,deur dicht houden,deur dicht houden,keep door closed,2,4
CES201606,995,23,stick,een deur niet dicht laten vallen,deur niet dicht laten vallen,don't let door close,1,5
CES201606,1952,47,stick,deur tegen houden,deur tegen houden,stop door,2,4
