research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater01,utility_rater01
CES201705,13858,867,towel,          ,,,0,0
CES201705,13859,867,towel,         ,,,0,0
CES201705,13860,867,towel,           ,,,0,0
CES201705,13906,872,towel,je kan ermee,,,0,0
CES201705,16053,952,towel,om doen,,,0,0
CES201705,16055,952,towel,gebruiken,,,0,0
CES201705,163591,975,towel,7,,,0,0
CES201705,16634,993,towel,aanmaak voor een vuurtje,aanmaak vuurtje,start fire,3,2
CES201705,16136,969,towel,absorberen ,absorberen,absorb,1,5
CES201705,15299,922,towel,achter verbergen,achter verbergen,hide behind,2,5
CES201705,14846,913,towel,Om je iets af te drogen,af drogen,dry,1,5
CES201705,15287,923,towel,af te drogen,af drogen,dry,1,5
CES201705,16009,951,towel,iets afdekken,afdekken,cover,2,5
CES201705,16412,974,towel,iets afdeken,afdekken,cover,2,5
CES201705,13963,877,towel,als afdekscherm,afdekscherm,cover screen,2,5
CES201705,16181,965,towel,iets mee afdichten,afdichten,seal,2,5
CES201705,13398,849,towel,afdrogen',afdrogen,dry,1,5
CES201705,13453,853,towel,afdrogen ,afdrogen,dry,1,5
CES201705,13457,857,towel,afdrogen,afdrogen,dry,1,5
CES201705,13476,851,towel,afdrogen,afdrogen,dry,1,5
CES201705,13496,854,towel,afdrogen,afdrogen,dry,1,5
CES201705,13538,860,towel,afdrogen,afdrogen,dry,1,5
CES201705,13540,858,towel,afdrogen,afdrogen,dry,1,5
CES201705,13579,861,towel,afdrogen,afdrogen,dry,1,5
CES201705,13840,871,towel,afdrogen ,afdrogen,dry,1,5
CES201705,13845,866,towel,afdrogen,afdrogen,dry,1,5
CES201705,13857,867,towel,afdrogen,afdrogen,dry,1,5
CES201705,13877,868,towel,afdrogen,afdrogen,dry,1,5
CES201705,13902,872,towel,je kan ermee afdrogen,afdrogen,dry,1,5
CES201705,13915,876,towel,afdrogen,afdrogen,dry,1,5
CES201705,13961,877,towel,afdrogen,afdrogen,dry,1,5
CES201705,14087,883,towel,alles afdrogen,afdrogen,dry,1,5
CES201705,14104,884,towel,afdrogen,afdrogen,dry,1,5
CES201705,14135,886,towel,afdrogen,afdrogen,dry,1,5
CES201705,14233,888,towel,afdrogen,afdrogen,dry,1,5
CES201705,14273,889,towel,afdrogen,afdrogen,dry,1,5
CES201705,14679,900,towel,afdrogen,afdrogen,dry,1,5
CES201705,14683,903,towel,afdrogen,afdrogen,dry,1,5
CES201705,14704,898,towel,afdrogen ,afdrogen,dry,1,5
CES201705,14719,908,towel,afdrogen,afdrogen,dry,1,5
CES201705,14723,910,towel,afdrogen,afdrogen,dry,1,5
CES201705,14728,911,towel,afdrogen,afdrogen,dry,1,5
CES201705,14770,904,towel,afdrogen,afdrogen,dry,1,5
CES201705,14775,907,towel,afdrogen,afdrogen,dry,1,5
CES201705,15080,918,towel,afdrogen,afdrogen,dry,1,5
CES201705,15259,921,towel,mee afdrogen,afdrogen,dry,1,5
CES201705,15294,922,towel,afdrogen,afdrogen,dry,1,5
CES201705,15305,931,towel,Afdrogen,afdrogen,dry,1,5
CES201705,15310,929,towel,afdrogen,afdrogen,dry,1,5
CES201705,15331,930,towel,afdrogen ,afdrogen,dry,1,5
CES201705,15360,935,towel,afdrogen,afdrogen,dry,1,5
CES201705,15369,933,towel,Afdrogen,afdrogen,dry,1,5
CES201705,15402,936,towel,afdrogen,afdrogen,dry,1,5
CES201705,15566,945,towel,Afdrogen,afdrogen,dry,1,5
CES201705,15593,946,towel,afdrogen,afdrogen,dry,1,5
CES201705,15605,947,towel,afdrogen ,afdrogen,dry,1,5
CES201705,15679,949,towel,afdrogen,afdrogen,dry,1,5
CES201705,15788,950,towel,afdrogen,afdrogen,dry,1,5
CES201705,15965,954,towel,afdrogen,afdrogen,dry,1,5
CES201705,16022,9999,towel,afdrogen,afdrogen,dry,1,5
CES201705,16048,952,towel,afdrogen,afdrogen,dry,1,5
CES201705,16091,9999,towel,afdrogen,afdrogen,dry,1,5
CES201705,16149,963,towel,afdrogen ,afdrogen,dry,1,5
CES201705,16161,968,towel,afdrogen,afdrogen,dry,1,5
CES201705,16175,965,towel,afdrogen,afdrogen,dry,1,5
CES201705,16201,967,towel,Afdrogen,afdrogen,dry,1,5
CES201705,16407,974,towel,afdrogen,afdrogen,dry,1,5
CES201705,16434,982,towel,afdrogen ,afdrogen,dry,1,5
CES201705,16535,990,towel,afdrogen,afdrogen,dry,1,5
CES201705,16544,991,towel,afdrogen,afdrogen,dry,1,5
CES201705,16625,993,towel,afdrogen,afdrogen,dry,1,5
CES201705,16635,995,towel,afdrogen,afdrogen,dry,1,5
CES201705,16687,997,towel,As fdrogen,afdrogen,dry,1,5
CES201705,14085,883,towel,afdrogen lichaam,afdrogen lichaam,dry body,1,5
CES201705,14086,883,towel,afdrogen muur,afdrogen muur,dry wall,1,5
CES201705,14240,888,towel,afdrogen na het schoonmaken,afdrogen schoonmaken,dry clean,1,5
CES201705,16005,951,towel,afdrogen na het zwemmen ,afdrogen zwemmen,dry off swimming,1,5
CES201705,15092,918,towel,afdroogdoek,afdroogdoek,drying cloth,1,5
CES201705,14904,914,towel,afdruipmatje,afdruip matje,drain mat,1,5
CES201705,15555,944,towel,afdruiprek,afdruiprek,dish rack,1,2
CES201705,13654,864,towel,afscheiding tussen twee kamers ipv een deur,afscheiding tussen kamers deur,partition between rooms door,3,4
CES201705,13853,870,towel,iets afschermen,afschermen,shield,3,5
CES201705,14236,888,towel,afschermen voor de zon,afschermen zon,shield from sun,3,5
CES201705,14707,898,towel,afstoffen ,afstoffen,dust off,3,5
CES201705,15358,928,towel,afstoffen,afstoffen,dust off,3,5
CES201705,15350,926,towel,Afvegen,afvegen,wipe off,3,5
CES201705,16545,991,towel,afwas,afwas,washing up,2,5
CES201705,13477,851,towel,afwassen,afwassen,wash up,2,5
CES201705,14706,898,towel,afwassen ,afwassen,wash up,2,5
CES201705,16396,981,towel,afwassen duuuhhhh,afwassen,wash up,2,5
CES201705,16534,990,towel,afwassen ,afwassen,wash up,2,5
CES201705,14747,899,towel,een aladin maatje maken,Aladdin maatje,Aladdin buddy,3,2
CES201705,13873,874,towel,je auto mee drogen,auto drogen,car drying,1,5
CES201705,15990,959,towel,auto raam bedeken tegen zon licht,auto raam bedekken tegen zon licht,Cover car window from sun light,3,5
CES201705,16222,971,towel,auto raam bedekken voor de zon,auto raam bedekken zon,car window cover sun,3,5
CES201705,15931,956,towel,auto schoonmaken,auto schoonmaken,car cleaning,2,5
CES201705,16361,975,towel,automaat,automaat,vending machine,0,0
CES201705,14692,903,towel,bad,bad,bath,0,0
CES201705,15081,918,towel,bad,bad,bath,0,0
CES201705,15209,919,towel,bad,bad,bath,0,0
CES201705,15224,920,towel,bad,bad,bath,0,0
CES201705,15568,945,towel,Bad,bad,bath,0,0
CES201705,16204,967,towel,Bad,bad,bath,0,0
CES201705,16370,983,towel,baddoeken ,baddoeken,bath towels,1,5
CES201705,16371,983,towel,badhandjes,badhandjes,bath gloves,1,5
CES201705,14641,906,towel,badkamer,badkamer,bathroom,0,0
CES201705,15093,918,towel,badkamer,badkamer,bathroom,0,0
CES201705,15320,932,towel,badkamer,badkamer,bathroom,0,0
CES201705,15569,945,towel,Badkamer,badkamer,bathroom,0,0
CES201705,15784,950,towel,badkamer,badkamer,bathroom,0,0
CES201705,16202,967,towel,Badkamer,badkamer,bathroom,0,0
CES201705,16391,977,towel,badkamer,badkamer,bathroom,0,0
CES201705,14249,887,towel,als badlaken,badlaken,bath towel,1,5
CES201705,14708,898,towel,badlaken ,badlaken,bath towel,1,5
CES201705,15079,918,towel,badlaken,badlaken,bath towel,1,5
CES201705,13969,878,towel,badmat,badmat,bath mat,2,5
CES201705,14901,914,towel,badmat,badmat,bath mat,2,5
CES201705,14946,917,towel,badmat,badmat,bath mat,2,5
CES201705,16695,998,towel,een badmat maken,badmat,bath mat,2,5
CES201705,15215,919,towel,badstof,badstof,terry cloth,2,5
CES201705,14737,911,towel,een bal ervan maken,bal ervan,ball of it,3,5
CES201705,14818,912,towel,bandana,bandana,bandanna,3,3
CES201705,13527,855,towel,bedekken,bedekken,cover,2,5
CES201705,14235,888,towel,iets bedekken,bedekken,cover,2,5
CES201705,14847,913,towel,Iets bedekken,bedekken,cover,2,5
CES201705,16410,974,towel,iets mee bedeken,bedekken,cover,2,5
CES201705,14751,899,towel,als bedekking middel gebruiken,bedekking middel,covering agent,2,5
CES201705,13464,857,towel,bedekt,bedekt,covered,2,5
CES201705,16520,9999,towel,bedenken,bedenken,think up,0,0
CES201705,15594,946,towel,beer knuffel maken,beer knuffel,bear hug,4,2
CES201705,139962,880,towel, voor een bepaalde effect,bepaalde effect,certain effect,0,0
CES201705,14848,913,towel,Beschermen tegen licht,beschermen tegen licht,protect from light,3,5
CES201705,13841,871,towel,beschermen tegen de zon ,beschermen tegen zon,protect from sun,3,5
CES201705,13965,877,towel,iets beschermen tegen de zon,beschermen tegen zon,protect from sun,3,5
CES201705,15324,932,towel,bescherming,bescherming,protection,3,5
CES201705,14138,886,towel,bescherming tegen zon,bescherming tegen zon,protection from sun,3,5
CES201705,13600,862,towel,beschermlaag,beschermlaag,protective layer,3,5
CES201705,14277,889,towel,beschilder als doek,beschilder doek,paint canvas,3,2
CES201705,13909,872,towel,je kan het beschilderen,beschilderen,paint,4,2
CES201705,15468,941,towel,iemand op zijn billen slaan ,billen slaan,spanking,3,5
CES201705,14713,898,towel,binden,binden,tie,2,4
CES201705,14893,916,towel,binden,binden,tie,2,4
CES201705,15359,928,towel,iemand binden,binden,tie,2,4
CES201705,15230,920,towel,blauwe,blauwe,blue,0,0
CES201705,14044,881,towel,om iemand te blinddoeken ,blinddoeken,blindfolds,2,5
CES201705,15262,921,towel,bloed stollen,bloed stollen,blood to clot,3,5
