research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater01,utility_rater01
CES201610,4305,215,fork,maken ,,,0,0
CES201610,4669,239,fork,drie,,,0,0
CES201610,5107,282,fork,zeven,,,4,3
CES201610,6960,415,fork,vier,,,0,0
CES201610,8875,552,fork,drie,,,0,0
CES201610,9573,607,fork,iets mee maken,,,0,0
CES201610,11482,727,fork,drie,,,0,0
CES201610,11483,727,fork,vier,,,0,0
CES201610,12336,775,fork,maken,,,0,0
CES201610,11564,733,fork,aaien ,aaien,pet,3,3
CES201610,12360,762,fork,iemand aaien,aaien,pet,3,3
CES201610,10636,654,fork,Gebruiken om de aandacht te krijgen door op een schoolbord mee te krassen,aandacht krijgen schoolbord krassen,get attention blackboard scratches,3,5
CES201610,5885,314,fork,je kan om aandacht vragen door hem tegen je glas aan te tikken,aandacht vragen tegen glas tikken,tapping glass asking for attention,3,5
CES201610,4721,244,fork,aandrukken,aandrukken,press,2,5
CES201610,6981,412,fork,aangeven,aangeven,indicate,2,4
CES201610,9783,628,fork,aanhangwagen,aanhangwagen,trailer,4,2
CES201610,3034,124,fork,het aanpakken van een object zonder het aan te raken met je handen,aanpakken object raken handen,tackling object touching hands,2,4
CES201610,6941,409,fork,aanrecht,aanrecht,counter,0,0
CES201610,5168,290,fork,aantikken als muziekinstrument,aantikken muziekinstrument,tapping musical instrument,3,4
CES201610,3140,138,fork,iemand aanvallen,aanvallen,attack,2,3
CES201610,6151,325,fork,gebruiken als aanwijsstok,aanwijsstok,pointing stick,3,3
CES201610,7472,487,fork,iets aanwijzen,aanwijzen,assign,3,3
CES201610,5942,318,fork,Als aanwijzer gebruiken,aanwijzer,pointer,3,3
CES201610,5947,317,fork,aarde mee omspitten,aarde omspitten,dig up earth,3,5
CES201610,12537,777,fork,aarde omspitter,aarde omspitten,dig up earth,3,5
CES201610,3147,139,fork,aarde wroeten,aarde wroeten,rooting earth,3,5
CES201610,8171,492,fork,assecoire,accessoire,accessory,3,3
CES201610,7085,423,fork,assecoire voor als je verkleed gaat als neptunes,accessoire verkleed gaat Neptunes,accessory goes dressed up as Neptune,4,4
CES201610,8329,504,fork,achterkant om iets mee uit te lepelen,achterkant lepelen,spooning at back,2,4
CES201610,4508,231,fork,De achterkant gebruiken als trommelstok,achterkant trommelstok,back of drumstick,4,4
CES201610,3435,172,fork,de achterkant van een vork kan gebruikt worden om oorsmeer uit je oor te halen,achterkant vork gebruikt oorsmeer oor halen,back fork used to remove earwax from ear,4,3
CES201610,7050,421,fork,achternaam van exvriend,achternaam ex vriend,ex boyfriend's last name,0,0
CES201610,4085,207,fork,om iets af te schieten,af schieten,shoot off,3,3
CES201610,6627,382,fork,afbeeldingen maken door ermee te krassen,afbeeldingen krassen,scratched images,3,3
CES201610,7187,433,fork,door afbreken er een poffertjes vork van maken,afbreken poffertjes vork,break off mini pancakes fork,3,3
CES201610,4833,255,fork,aflikken,aflikken,lick,0,0
CES201610,12095,769,fork,aflikken,aflikken,lick,0,0
CES201610,12334,775,fork,aflikken,aflikken,lick,0,0
CES201610,6225,338,fork,iets afpeuteren,afpeuteren,pick up,3,4
CES201610,4467,224,fork,afschieten van dingen,afschieten dingen,shooting things,3,3
CES201610,6375,355,fork,te gebruiken als aflsuiter van een zak chips,afsluiter zak chips,closing bag of chips,4,4
CES201610,6939,409,fork,afwas,afwas,washing up,4,2
CES201610,6349,347,fork,afwasborstel,afwasborstel,dishwashing brush,4,2
