research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater02,utility_rater02
CES201610,9821,607,paperclip,iets mee maken,,,3,3
CES201610,11300.2,710,paperclip, gebruiken voor ,,,0,0
CES201610,12086,767,paperclip,iets*,,,0,0
CES201610,12512,775,paperclip,gebruiken,,,3,3
CES201610,7561,494,paperclip,aambeien weghalen,aambeien weghalen,remove hemorrhoids,5,2
CES201610,8236,496,paperclip,administratie,administratie,administration,1,5
CES201610,12763,787,paperclip,afscheiding,afscheiding,secretion,2,3
CES201610,11763,724,paperclip,alle paperclips versmelten en tot iets anders maken,alle paperclips versmelten anders,all paperclips fuse differently,3,3
CES201610,8160,490,paperclip,aluminium,aluminium,aluminium,0,0
CES201610,8602,535,paperclip,een ander object aan een papiertje vastklemmen ,ander object papiertje vastklemmen,clamp another object onto paper,2,5
CES201610,8291,505,paperclip,iets anders dan papier bij elkaar houden bijv. kleding,anders papier elkaar houden oorbeeld kleding,other paper hold together example clothes,3,5
CES201610,10986,679,paperclip,animatie voor microsoft van maken,animatie Microsoft,animation Microsoft,4,3
CES201610,8940,572,paperclip,appelhouder,appelhouder,apple holder,5,2
CES201610,8306,554,paperclip,arbeit,arbeit,labor,0,0
CES201610,8058,542,paperclip,armband,armband,bracelet,3,4
CES201610,9096,565,paperclip,Armband maken,armband,bracelet,3,4
CES201610,9428,592,paperclip,armband van maken,armband,bracelet,3,4
CES201610,10233,625,paperclip,armband,armband,bracelet,3,4
CES201610,9938,638,paperclip,Armband,armband,bracelet,3,4
CES201610,11491,728,paperclip,armband,armband,bracelet,3,4
CES201610,12281,757,paperclip,armband maken,armband,bracelet,3,4
CES201610,11926,761,paperclip,armband,armband,bracelet,3,4
CES201610,12483,779,paperclip,armband,armband,bracelet,3,4
CES201610,8485,514,paperclip,armbandje,armbandje,bracelet,3,4
CES201610,10466,643,paperclip,armbandje,armbandje,bracelet,3,4
CES201610,12382,766,paperclip,armbandje (uitvouwbaar),armbandje,bracelet,3,4
CES201610,8298,554,paperclip,aufschreiben,aufschreiben,write down,0,0
CES201610,11842,752,paperclip,autovervorming speelgoedding,autovervorming speelgoed ding,car deformation toy thing,5,2
CES201610,9900,635,paperclip,baan,baan,track,0,0
CES201610,11389,716,paperclip,bakje,bakje,tub,4,2
CES201610,11226,701,paperclip,ballon leeg laten lopen,ballon leeg laten lopen,deflate balloon,2,5
CES201610,8432,511,paperclip,Ballon lekprikken,ballon lek prikken,puncture balloon,2,5
CES201610,11302,710,paperclip,balonnen bij elkaar,ballonnen elkaar,balloons together,3,5
CES201610,12604,785,paperclip,een banaan snijden van buitenaf,banaan snijden buitenaf,banana cutting outside,4,3
CES201610,12422,769,paperclip,de bandjes van je jurk aan je bh vastklemmen zodat deze niet afzakt ,bandjes jurk bh vastklemmen zodat niet afzakt,clamp straps of dress bra so that they do not fall,3,5
CES201610,11847,752,paperclip,bedel van kettinkje,bedel kettinkje,charm chain,3,4
CES201610,10593,652,paperclip,je behabandjes laten kruisen,behabandjes laten kruisen,cross bra straps,3,5
CES201610,10309,628,paperclip,iemand bekogelen,bekogelen,pelt,3,4
CES201610,9305,586,paperclip,op iets mee te bekrassen,bekrassen,scratch,2,4
CES201610,8941,572,paperclip,beloning,beloning,reward,3,2
CES201610,10928,673,paperclip,benodigdheden,benodigdheden,supplies,2,5
CES201610,8759,544,paperclip,beschadigen,beschadigen,damage,2,4
CES201610,11346,719,paperclip,bestek,bestek,cutlery,3,3
CES201610,11204,697,paperclip,Bewaakt de orde en rust,bewaakt orde rust,guard order and peace,0,0
CES201610,10888,670,paperclip,bh bandjes achter rug aan elkaar doen,bh bandjes achter rug elkaar,bra straps behind back,3,5
CES201610,8848,569,paperclip,Bh bandjes bij elkaar binden,bh bandjes elkaar binden,tie bra straps together,3,5
CES201610,7642,506,paperclip,bh bandjes bij elkaar houden,bh bandjes elkaar houden,bra straps hold together,3,5
CES201610,8764,544,paperclip,bh bandjes op je rug,bh bandjes rug,bra straps back,3,5
CES201610,7565,494,paperclip,een bierblikje open maken,bierblikje open,beer can open,3,4
CES201610,9626,611,paperclip,bieropener,bieropener,beer opener,3,4
CES201610,9485,595,paperclip,bijeenhouden,bijeenhouden,hold together,2,5
CES201610,11143,691,paperclip,binden,binden,tie,1,5
CES201610,9419,596,paperclip,binder,binder,binder,1,5
CES201610,9711,604,paperclip,binder,binder,binder,1,5
CES201610,9037,578,paperclip,bindertje voor andere dingen,binder dingen,bind things,1,5
CES201610,7639,506,paperclip,blaadje bijn ,blaadje bijeen,leaf together,1,5
CES201610,8969,575,paperclip,blaadjes bij elkaar,blaadjes elkaar,leaves together,1,5
CES201610,11930,749,paperclip,blaadjes aan elkaar doen,blaadjes elkaar,leaves together,1,5
CES201610,7643,506,paperclip,blaadjes bij elkaar houden,blaadjes elkaar houden,leaves hold together,1,5
CES201610,8430,511,paperclip,Blaadjes bij elkaar houden,blaadjes elkaar houden,leaves hold together,1,5
CES201610,8887,553,paperclip,blaadjes bij elkaar houden,blaadjes elkaar houden,leaves hold together,1,5
CES201610,10887,670,paperclip,blaadjes bij elkaar houden,blaadjes elkaar houden,leaves hold together,1,5
CES201610,11107,688,paperclip,blaadjes aan elkaar vast maken ,blaadjes elkaar vast,leaves stick together,1,5
CES201610,12269,754,paperclip,blaadjes samevoegen,blaadjes samenvoegen,join leaves together,1,5
CES201610,10039,616,paperclip,bladen,bladen,sheets,0,0
CES201610,8568,523,paperclip,bladwijzer,bladwijzer,bookmark,2,5
CES201610,10915,683,paperclip,bladwijzer,bladwijzer,bookmark,2,5
CES201610,11870,755,paperclip,bladwijzer,bladwijzer,bookmark,2,5
CES201610,8973,575,paperclip,bladzijde onthouden,bladzijde onthouden,remember page,2,5
CES201610,7463,485,paperclip,als bladzijdewijzer,bladzijdewijzer,pagemark,2,5
CES201610,9630,611,paperclip,blikjeshouden,blikjes houden,holding cans,4,3
CES201610,8305,554,paperclip,block,block,block,0,0
CES201610,12273,754,paperclip,bloemen recht laten groeien,bloemen recht laten groeien,grow flowers straight,4,4
CES201610,12059,746,paperclip,boat ,boat,boat,0,0
CES201610,10724,661,paperclip,boek,boek,book,0,0
CES201610,8558,520,paperclip,als boekenlegger gebruiken,boekenlegger,bookmark,2,5
CES201610,8889,553,paperclip,als boekenlegger gebruiken,boekenlegger,bookmark,2,5
CES201610,8953,556,paperclip,als boekenlegger gebruiken,boekenlegger,bookmark,2,5
CES201610,8974,575,paperclip,boekenlegger,boekenlegger,bookmark,2,5
CES201610,9417,596,paperclip,boekenlegger,boekenlegger,bookmark,2,5
CES201610,9758,626,paperclip,boekenlegger,boekenlegger,bookmark,2,5
CES201610,10468,643,paperclip,boekenlegger,boekenlegger,bookmark,2,5
CES201610,10767,677,paperclip,boekenlegger,boekenlegger,bookmark,2,5
CES201610,11844,752,paperclip,boekenlegger,boekenlegger,bookmark,2,5
CES201610,8993,562,paperclip,boekje,boekje,booklet,0,0
CES201610,11876,755,paperclip,om iets van te bouwen,bouwen,build,3,3
CES201610,9479,595,paperclip,breken,breken,break,3,3
CES201610,7373,473,paperclip,briefopener,briefopener,letter opener,3,4
CES201610,10916,683,paperclip,om broek mee dicht te houden,broek dicht houden,keep your pants closed,3,5
CES201610,7853,478,paperclip,om je broek iets draagbaarder te maken,broek draagbaarder,pants more wearable,3,5
CES201610,11753,743,paperclip,aan je broek hangen,broek hangen,pants hanging,4,5
CES201610,12150,770,paperclip,een broek sluiten ,broek sluiten,close pants,3,5
CES201610,8093,545,paperclip,broek vastmaken,broek vastmaken,fasten pants,3,5
CES201610,10308,628,paperclip,brood zakje dicht mee maken,brood zakje dicht,bread bag closed,5,5
CES201610,7604,497,paperclip,broodzakjes dichthoudt ding,broodzakjes dichthoudt ding,thing that keeps bread bags closed,5,5
CES201610,10314,628,paperclip,brug bouwen,brug bouwen,build bridge,5,2
CES201610,7718,512,paperclip,buigbaar,buigbaar,bendable,2,5
CES201610,7546,494,paperclip,buigen,buigen,bend,2,5
CES201610,7742,503,paperclip,BUIGEN,buigen,bend,2,5
CES201610,7746,503,paperclip,BUIGEN,buigen,bend,2,5
CES201610,7711,512,paperclip,buigen,buigen,bend,2,5
CES201610,8055,542,paperclip,buigen,buigen,bend,2,5
CES201610,8580,563,paperclip,buigen,buigen,bend,2,5
CES201610,9694,617,paperclip,buigen,buigen,bend,2,5
CES201610,10448,619,paperclip,buigen,buigen,bend,2,5
CES201610,11218,700,paperclip,buigen,buigen,bend,2,5
CES201610,11228,701,paperclip,buigen,buigen,bend,2,5
CES201610,11423,722,paperclip,buigen,buigen,bend,2,5
CES201610,12507,775,paperclip,buigen,buigen,bend,2,5
CES201610,12779,791,paperclip,buigen,buigen,bend,2,5
CES201610,10238,659,paperclip,buigen tot een figuurtje,buigen figuurtje,bend figure,2,5
CES201610,9898,635,paperclip,bureau,bureau,desk,0,0
CES201610,10925,673,paperclip,bureau,bureau,desk,0,0
CES201610,10290,622,paperclip,cadeau geven,cadeau geven,give present,2,4
CES201610,12423,769,paperclip,chipszak dichtmaken ,chips zak dichtmaken,close bag of chips,2,5
CES201610,8296,554,paperclip,Clip,clip,clip,2,4
CES201610,9269,587,paperclip,clip,clip,clip,2,4
CES201610,11832,727,paperclip,clip,clip,clip,2,4
CES201610,8297,554,paperclip,Clipboard,clipboard,clipboard,1,5
CES201610,7715,512,paperclip,klipje,clipje,clip,3,4
CES201610,9278,587,paperclip,clipje,clipje,clip,2,4
CES201610,11343,719,paperclip,klipje voor in haar,clipje haar,clip hair,3,4
CES201610,8395,508,paperclip,computer mee slopen,computer slopen,demolish computer,4,3
CES201610,8563,520,paperclip,om computerdraden bij elkaar te houden ze met een paperclip vastzetten,computerdraden elkaar houden paperclip vastzetten,computer wires hold together paper clip fasten,3,4
CES201610,11651,721,paperclip,computers,computers,computers,0,0
CES201610,11656,721,paperclip,computers,computers,computers,0,0
CES201610,8303,554,paperclip,Creativiteit,creativiteit,creativity,0,0
CES201610,7491,488,paperclip,decoratie,decoratie,decoration,3,3
CES201610,10231,625,paperclip,decoratie,decoratie,decoration,3,3
CES201610,12065,746,paperclip,decoration,decoration,decoration,3,3
CES201610,8310,554,paperclip,denken,denken,think,0,0
CES201610,7569,494,paperclip,designen,designen,designing,2,3
CES201610,10926,673,paperclip,desk,desk,desk,0,0
CES201610,10299,628,paperclip,deur open maken,deur open,door open,2,4
CES201610,11027,682,paperclip,deur mee open maken,deur open,door open,2,4
CES201610,8157,490,paperclip,deur openen,deur openen,open door,2,4
CES201610,8570,563,paperclip,deur openen,deur openen,open door,2,4
CES201610,10476,650,paperclip,om een deur mee te openen,deur openen,open door,2,4
CES201610,7791,521,paperclip,een deur openhouden,deur openhouden,keep door open,2,4
