research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater01,utility_rater01
CES201712,17067,1151,brick,aankleden,aankleden,decorate,4,2
CES201712,16949,1143,brick,aanrecht,aanrecht,counter,2,3
CES201712,17155,1161,brick,aanrecht,aanrecht,counter,2,3
CES201712,17111,1148,brick,af afbakening,af afbakening,from demarcation,2,4
CES201712,17287,1185,brick,als afbakening van een tuin,afbakening tuin,demarcation of garden,2,4
CES201712,17046,1134,brick,afbreken,afbreken,breaking down,2,4
CES201712,18460,1238,brick,als afgodbeeld gebruiken,afgodbeeld,idol,3,3
CES201712,17405,1191,brick,iets anders stuk maken,anders stuk,other break,2,4
CES201712,16992,1140,brick,als anker gebruiken,anker,anchor,4,3
CES201712,17112,1148,brick,als anker,anker,anchor,4,3
CES201712,17384,1190,brick,anker,anker,anchor,4,3
CES201712,16938,1139,brick,als anker voor een boot gebruiken,anker boot,anchor boat,4,3
CES201712,17620,1225,brick,appartement,appartement,apartment,1,5
CES201712,17137,1159,brick,aquaduct romeinse stijl,aquaduct Romeinse stijl,aqueduct Roman style,3,3
CES201712,17143,1157,brick,asbak,asbak,ashtray,3,3
CES201712,17586,1219,brick,auto,auto,car,4,1
CES201712,17381,1182,brick,Auto zonder banden omhoog houden,auto banden omhoog houden,keep car tires up,3,3
CES201712,16958,1141,brick,bak,bak,bin,2,3
CES201712,17010,1142,brick,bak,bak,bin,2,3
CES201712,17244,1177,brick,bakken,bakken,baking,3,3
CES201712,17609,1225,brick,bakken,bakken,baking,3,3
CES201712,17610,1225,brick,bakker,bakker,Baker,0,0
CES201712,17614,1225,brick,bakker,bakker,Baker,0,0
CES201712,18480,1241,brick,baksteen,baksteen,brick,1,5
CES201712,17603,1214,brick,baksteen keukenbald,baksteen keukenblad,brick kitchen top,2,3
CES201712,17135,1159,brick,baksteen koppen uit schaamte,baksteen koppen schaamte,brick heads shame,5,3
CES201712,17598,1214,brick,baksteen muur,baksteen muur,brick wall,1,5
CES201712,17604,1214,brick,baksteen openhaard,baksteen open haard,brick fireplace,1,5
CES201712,17139,1159,brick,baksteenovenpizza,baksteen ovenpizza,brick oven pizza,3,3
CES201712,17600,1214,brick,basteen tafel,baksteen tafel,brick table,4,4
CES201712,17601,1214,brick,baksteen trap,baksteen trap,brick stairs,1,5
CES201712,17524,1207,brick,iets aan een baksteen vastmk\aken en in het water gooien,baksteen vastmaken water gooien,"fix brick, throw water",2,5
CES201712,17599,1214,brick,baksteen wastafel,baksteen wastafel,brick sink,3,2
CES201712,17602,1214,brick,baksteen wc hok,baksteen wc hok,brick toilet stall,1,5
CES201712,17322,1187,brick,bakstenen op elkaar zetten en een tafel van maken,bakstenen elkaar zetten tafel,putting bricks together table,4,4
CES201712,17355,1196,brick,bakstenenmuur,bakstenen muur,brick wall,1,5
CES201712,17562,1222,brick,bakstenen verven,bakstenen verven,painting bricks,4,4
CES201712,17471,1201,brick,als bal gebruiken,bal,ball,3,3
CES201712,17588,1219,brick,bal,bal,ball,3,3
