response_id,research_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater02,utility_rater02
18801.1,CES201802,1310,can,iets in doen,,,1,5
20256.7,CES201802,1489,can, gebruiken voor,,,0,0
20273.5,CES201802,1493,can, blikopener,,,2,3
20290,CES201802,1491,can,  ,,,0,0
20327,CES201802,1498,can,kunt,,,0,0
21073,CES201802,1592,can,op maken,,,0,0
21901,CES201802,1706,can,kan,,,0,0
18613,CES201802,1292,can,je kan het aanbidden,aanbidden,worship,5,2
18662,CES201802,1294,can,aandacht trekken,aandacht trekken,seek attention,3,3
20988,CES201802,1571,can,het aankleden,aankleden,decorate,3,4
22248,CES201802,1754,can,aanraken,aanraken,touch,1,5
22764,CES201802,1815,can,aantekeningen,aantekeningen,notes,3,3
21472,CES201802,1644,can,accessoire,accessoire,accessory,3,3
19360,CES201802,1383,can,accesoires,accessoires,accessories,3,3
21372,CES201802,1638,can,achter je auto binden als je gaat trouwen,achter auto binden gaat trouwen,tie behind car gets married,2,5
20822,CES201802,1559,can,om achter een auto te hangen ,achter auto hangen,hang behind car,2,5
23148,CES201802,1862,can,achter auto hangen voor geluidseffect,achter auto hangen geluidseffect,behind car hanging sound effect,2,5
22303,CES201802,1760,can,Achter een auto hangen nadat je trouwt,achter auto hangen nadat trouwt,hang behind car after getting married,2,5
20942,CES201802,1570,can,achter een auto hangen na het trouwen,achter auto hangen trouwen,hang behind car get married,2,5
19246,CES201802,1365,can,Achter je fiets als geluid,achter fiets geluid,rear bicycle noise,2,5
18952.4,CES201802,1330,can, achter een vervelend persoon zijn/haar auto hangen,achter vervelend persoon haar auto hangen,hanging her car behind annoying person,2,5
18955,CES201802,1330,can,achter een vervelend persoon zijn/haar auto hangen,achter vervelend persoon haar auto hangen,hanging her car behind annoying person,2,5
22420,CES201802,1774,can,of is het ad,ad,ad,2,5
22682,CES201802,1807,can,atten,adten,drink,2,5
19417,CES201802,1391,can,adtje trekken,adtje trekken,drink,2,5
22199,CES201802,1747,can,om op te adverteren,adverteren,advertise,3,5
19288,CES201802,1370,can,om afteluisteren,af luisteren,eavesdropping,3,4
20514,CES201802,1518,can,Afdek deksel,afdek deksel,cover lid,2,4
22759,CES201802,1814,can,Afdrukvorm (gebak of zangfiguren),afdrukvorm,print form,3,4
22251,CES201802,1754,can,afgieten,afgieten,drain,3,3
19877,CES201802,1444,can,afluisteren aan de muur,afluisteren muur,eavesdropping wall,3,4
22546,CES201802,1789,can,afrastering tuinhekje,afrastering tuinhekje,fence garden gate,3,4
19447,CES201802,1397,can,afval,afval,waste,2,5
22782,CES201802,1820,can,Afval,afval,waste,2,5
23435,CES201802,1895,can,afval in doen,afval,waste,2,5
18806,CES201802,1310,can,gebruiken als afval bakje,afval bakje,waste bin,2,5
21825,CES201802,1694,can,afval container,afval container,waste container,2,5
21416,CES201802,1645,can,afvalbak,afvalbak,garbage bin,2,5
22896,CES201802,1832,can,afvalbak,afvalbak,garbage bin,2,5
21724,CES201802,1681,can,agressie op uitleven,agressie uitleven,indulge in aggression,2,4
22850,CES201802,1827,can,alcohol,alcohol,alcohol,1,5
21174,CES201802,1615,can,alternatief siraad,alternatief sieraad,alternative jewelry,3,4
21176,CES201802,1615,can,alternatieve baksteen,alternatieve baksteen,alternative brick,3,4
20990,CES201802,1573,can,aluminium,aluminium,aluminium,0,0
19400,CES201802,1387,can,ammunitie,ammunitie,ammunition,3,3
19084,CES201802,1342,can,ananas,ananas,pineapple,0,0
23438,CES201802,1895,can,ander drinken indoen,ander drinken indoen,add another drink,1,5
20498,CES201802,1516,can,er iets anders indoen dan drinken,anders indoen drinken,drink differently,1,5
19602.1,CES201802,1414,can,Andy warhol memorial,Andy Warhol memorial,Andy Warhol memorial,4,4
20592,CES201802,1526,can,anker (met zand erin),anker,anchor,3,4
21884,CES201802,1703,can,gebruiken als anker,anker,anchor,3,4
22377,CES201802,1766,can,appelsap,appelsap,Apple juice,1,5
21830,CES201802,1694,can,aquarium voor kleine viesjes,aquarium kleine visjes,aquarium small fish,3,4
21142,CES201802,1610,can,armband,armband,bracelet,3,4
21234,CES201802,1622,can,gebruiken als armband,armband,bracelet,3,4
21423,CES201802,1642,can,armband van te maken,armband,bracelet,3,4
22057,CES201802,1728,can,armband,armband,bracelet,3,4
18495,CES201802,1277,can,asbak,asbak,ashtray,2,5
18562,CES201802,1283,can,asbak,asbak,ashtray,2,5
18692,CES201802,1299,can,Als asbak,asbak,ashtray,2,5
18874.4,CES201802,1319,can, asbak,asbak,ashtray,2,5
18877,CES201802,1319,can,Asbak,asbak,ashtray,2,5
19037,CES201802,1338,can,asbak,asbak,ashtray,2,5
19409,CES201802,1390,can,asbak,asbak,ashtray,2,5
19688,CES201802,1426,can,asbak,asbak,ashtray,2,5
20589,CES201802,1526,can,asbak,asbak,ashtray,2,5
20792,CES201802,1556,can,asbak,asbak,ashtray,2,5
20846,CES201802,1560,can,asbak,asbak,ashtray,2,5
20917,CES201802,1568,can,asbak,asbak,ashtray,2,5
20951,CES201802,1570,can,als asbak gebruiken,asbak,ashtray,2,5
21127,CES201802,1609,can,asbak,asbak,ashtray,2,5
21156,CES201802,1613,can,asbak,asbak,ashtray,2,5
21440,CES201802,1646,can,als asbak,asbak,ashtray,2,5
21461,CES201802,1649,can,asbak,asbak,ashtray,2,5
21584,CES201802,1664,can,asbak,asbak,ashtray,2,5
21652,CES201802,1671,can,asbak,asbak,ashtray,2,5
21920,CES201802,1708,can,asbak,asbak,ashtray,2,5
22294,CES201802,1758,can,asbak,asbak,ashtray,2,5
