response_id,research_id,respondent_id,object,original_response,cleaned_response,translated_response,originality_rater01,utility_rater01
23579,CES201911,1964,brick,2 a 4 min lijkt me ook goed.,a min lijkt goed,a minus seems good,0,0
29295,CES201911,2258,brick,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,0
24412,CES201911,2034,brick,aangeven,aangeven,indicate,2,5
24184,CES201911,2020,brick,aanraken,aanraken,touch,2,5
27838,CES201911,2177,brick,abortus instrument,abortus instrument,abortion instrument,4,2
32302,CES201911,2370,brick,actionfigure,actionfigure,action figure,5,2
27709,CES201911,2171,brick,afbakening,afbakening,demarcation,1,5
24191,CES201911,2020,brick,afbreken,afbreken,break down,2,5
31628,CES201911,2349,brick,afhakker,afhakker,hacker,2,5
31108,CES201911,2332,brick,afscherming,afscherming,shielding,2,5
30027,CES201911,2293,brick,iets afschrikken,afschrikken,scare,3,3
28055.4,CES201911,2191,brick, afzetblok,afzetblok,barrier block,2,5
31489,CES201911,2345,brick,als altaar,altaar,altar,3,5
28446,CES201911,2213,brick,alternatieve sleutel voor een deur,alternatieve sleutel deur,alternative key door,4,1
30522,CES201911,2313,brick,amsterdam,amsterdam,Amsterdam,0,0
28406,CES201911,2210,brick,iets anders bouwen,anders bouwen,build different,1,5
31779,CES201911,2355,brick,iets anders dan een muurtje mee bouwen,anders muurtje bouwen,other build wall,1,5
31625,CES201911,2349,brick,anker,anker,anchor,2,4
31079,CES201911,2329,brick,als anker gebruiken,anker,anchor,2,4
30401,CES201911,2305,brick,als anker gebruiken,anker,anchor,2,4
26626,CES201911,2132,brick,als anker voor een klein bootje,anker klein bootje,anchor small boat,2,4
29339,CES201911,2259,brick,archeologisch opbject,archeologisch object,archaeological object,3,3
30524,CES201911,2313,brick,architecture,architecture,architecture,0,0
26627,CES201911,2133,brick,asfsdg,asfsdg,asfsdg,0,0
27770,CES201911,2174,brick,auto ruit inslaan,auto ruit inslaan,smashing car window,2,5
28399,CES201911,2209,brick,badstop,badstop,bath plug,4,2
23644,CES201911,1989,brick,bak,bak,bin,3,3
23656,CES201911,1989,brick,bak,bak,bin,3,3
25652,CES201911,2093,brick,baking,baking,baking,0,0
27659,CES201911,2168,brick,bakje van maken om dingen in fijn te stampen,bakje dingen fijn stampen,mash things up in bowl,4,3
30972,CES201911,2325,brick,bakken,bakken,baking,4,2
30200,CES201911,2299,brick,bakken,bakken,baking,4,2
29290,CES201911,2258,brick,Bakken,bakken,baking,4,2
28662,CES201911,2224,brick,bakken,bakken,baking,4,2
23809,CES201911,2001,brick,bakken,bakken,baking,4,2
23641,CES201911,1989,brick,baksel,baksel,baking,1,2
30102,CES201911,2295,brick,een baksteen,baksteen,brick,1,5
28278,CES201911,2204,brick,baksteen,baksteen,brick,0,0
25650,CES201911,2093,brick,baksteen,baksteen,brick,0,0
23599,CES201911,1968,brick,baksteen 1,baksteen,brick,1,5
23600,CES201911,1968,brick,baksteen 2,baksteen,brick,1,5
23593,CES201911,1967,brick,baksteen 1,baksteen,brick,1,5
23594,CES201911,1967,brick,baksteen 2,baksteen,brick,1,5
23595,CES201911,1967,brick,baksteen 3,baksteen,brick,1,5
23574,CES201911,1964,brick,baksteen,baksteen,brick,1,5
31728,CES201911,2353,brick,baksteen gooien als workout,baksteen gooien workout,brick throw workout,3,5
28833,CES201911,2236,brick,op baksteen schilderen ,baksteen schilderen,brick paint,3,5
23820,CES201911,2002,brick,baksteen schildren,baksteen schilderen,brick paint,3,5
26476,CES201911,2129,brick,de baksteen verbrijzelen,baksteen verbrijzelen,crush brick,4,5
30099,CES201911,2295,brick,twee bakstenen als je hem door de midden doet,bakstenen midden doet,brick center do,2,5
23663,CES201911,1989,brick,bakt,bakt,bake,1,5
23665,CES201911,1989,brick,bakten,bakten,baked,1,5
31626,CES201911,2349,brick,bal,bal,ball,3,3
29823,CES201911,2284,brick,bal,bal,ball,3,3
27744,CES201911,2173,brick,bla,bal,ball,3,3
25969,CES201911,2104,brick,als bal gebruiken,bal,ball,3,3
31484,CES201911,2345,brick,bal uit een boom halen,bal boom halen,get ball tree,4,5
26624,CES201911,2132,brick,als bal om mee over te gooien,bal gooien,throw ball,3,3
24835,CES201911,2061,brick,balanceerlijn,balanceerlijn,balancing line,4,5
28149,CES201911,2196,brick,balanceren,balanceren,balance,4,5
27248,CES201911,2156,brick,balanceren,balanceren,balance,4,5
25584,CES201911,2088,brick,om op te balanceren,balanceren,balance,4,5
23870,CES201911,2004,brick,om op te balanceren,balanceren,balance,4,5
28150,CES201911,2196,brick,balanceren op de baksteen,balanceren baksteen,balancing brick,4,5
32446,CES201911,2374,brick,balanceren op hoofd,balanceren hoofd,balancing head,4,5
29150,CES201911,2250,brick,balans maken,balans,balance,2,5
31623,CES201911,2349,brick,bank,bank,Bank,2,5
31502,CES201911,2346,brick,bank,bank,Bank,2,5
29794,CES201911,2281,brick,Een bank van maken,bank,Bank,2,5
28633,CES201911,2223,brick,bank,bank,Bank,2,5
23826,CES201911,2002,brick,bankvan maken,bank,Bank,2,5
30985,CES201911,2325,brick,bankje,bankje,bench,2,5
28527,CES201911,2219,brick,bankje,bankje,bench,2,5
29374,CES201911,2261,brick,bbq,barbecue,barbecue,4,3
28635,CES201911,2223,brick,barbecue,barbecue,barbecue,4,3
27941,CES201911,2185,brick,BBQ mee maken,barbecue,barbecue,4,3
26658,CES201911,2134,brick,bbq maken ,barbecue,barbecue,4,3
27717,CES201911,2171,brick,barbeque plaats brandveilig maken,barbecue plaats brandveilig,barbecue place fireproof,1,5
23645,CES201911,1989,brick,basket,basket,basket,0,0
32286,CES201911,2370,brick,basketbal,basketbal,basketball,4,1
23561,CES201911,1952,brick,bath toy,bath toy,bath toy,0,0
25325,CES201911,2078,brick,bauarbeiter,bauarbeiter,construction worker,0,0
30888,CES201911,2323,brick,bed,bed,bed,3,3
28663,CES201911,2224,brick,bed,bed,bed,3,3
31338,CES201911,2339,brick,bedje voor een klein dier,bedje klein dier,small animal bed,3,3
29378,CES201911,2261,brick,beeld,beeld,image,3,3
31813.5,CES201911,2356,brick, beeldhouwen,beeldhouwen,sculpt,3,3
31817,CES201911,2356,brick,beeldhouwen ,beeldhouwen,sculpt,3,3
31347,CES201911,2339,brick,beeldhouwen,beeldhouwen,sculpt,3,3
30306,CES201911,2307,brick,om mee te beeldhouwen,beeldhouwen,sculpt,3,3
29945,CES201911,2288,brick,beeldhouwen,beeldhouwen,sculpt,3,3
29563,CES201911,2271,brick,beeldhouwen,beeldhouwen,sculpt,3,3
28839,CES201911,2236,brick,beeldhouden,beeldhouwen,sculpt,3,3
26474,CES201911,2129,brick,beeldhouden,beeldhouwen,sculpt,3,3
23801,CES201911,2001,brick,beeldhouwen,beeldhouwen,sculpt,3,3
28537,CES201911,2219,brick,beeldhouwwerk,beeldhouwwerk,sculpture,3,3
27710,CES201911,2171,brick,beeldje,beeldje,figurine,3,3
24402,CES201911,2034,brick,beeldje uitmaken,beeldje uitmaken,make statue,3,3
23647,CES201911,1989,brick,been,been,leg,4,2
23652,CES201911,1989,brick,been,been,leg,4,2
23550,CES201911,1912,brick,begraven,begraven,bury,2,5
29746.5,CES201911,2278,brick, behangprint,behangprint,wallpaper print,4,5
24183,CES201911,2020,brick,bekijken,bekijken,look at,3,5
30402,CES201911,2305,brick,bekken in een rivier,bekken rivier,basin river,2,5
30979,CES201911,2325,brick,beschermen,beschermen,protect,2,4
30203,CES201911,2299,brick,bescherming,bescherming,protection,2,4
29962,CES201911,2291,brick,beschilderen,beschilderen,paint,3,5
28371,CES201911,2208,brick,beschilderen,beschilderen,paint,3,5
23800,CES201911,2001,brick,beschilderen,beschilderen,paint,3,5
25320,CES201911,2078,brick,bestebaken,bestebaken,best beacon,0,0
30717,CES201911,2317,brick,bestraten,bestraten,pave,1,5
28481,CES201911,2215,brick,bestuderen,bestuderen,study,3,5
31665,CES201911,2350,brick,betaalmiddel,betaalmiddel,means of payment,5,1
30045,CES201911,2292,brick,iets beter kunnen gooien,beter gooien,throw better,2,5
23810,CES201911,2001,brick,bevriezen in een vriezer,bevriezen vriezer,freeze freezer,4,1
24579,CES201911,2046,brick,bewerken,bewerken,process,3,5
24406,CES201911,2034,brick,op bijten,bijten,bite,4,5
24187,CES201911,2020,brick,bijten,bijten,bite,4,5
25615,CES201911,2087,brick,bijzettafel,bijzettafel,side table,2,4
