response_id,research_id,respondent_id,object,translated_response,originality_rater02,utility_rater02,originality_rater01,utility_rater01
1,CEG202201,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,doorstop,NA,NA,2,5
2,CEG202202,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,start a fire,NA,NA,2,4
3,CEG202203,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,prop up a table or chair leg,2,4,3,4
4,CEG202204,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,paperweight,NA,NA,2,5
5,CEG202205,cmpl-4zrXKRorn55iQY1NXc3Vq3WKCLtyf,book,make art such as by decoupaging it onto a canvas or,NA,NA,2,5
6,CEG202206,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,door stop,NA,NA,2,5
7,CEG202207,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,start a fire,NA,NA,2,4
8,CEG202208,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,prop up a table or chair leg,2,4,3,4
9,CEG202209,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,paperweight,NA,NA,2,5
10,CEG202210,cmpl-4zrXMnec5vnPs9Rno0qAGOwJ1vslr,book,make a collage or sculpture,NA,NA,3,4
12,CEG202211,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,door stop,NA,NA,2,5
13,CEG202212,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,prop up a table or chair leg,2,4,3,4
14,CEG202213,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,paperweight,NA,NA,2,5
15,CEG202214,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,make collage or scrapbook,NA,NA,2,5
16,CEG202215,cmpl-4zrXQbOmAJISuhk3fFIZO2SLmBq6x,book,cut up and used as confetti or streamers,NA,NA,3,4
17,CEG202216,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,doorstop,NA,NA,2,5
18,CEG202217,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,start a fire,NA,NA,2,4
19,CEG202218,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,paperweight,NA,NA,2,5
20,CEG202219,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,prop up a wobbly table leg,NA,NA,3,4
21,CEG202220,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,coaster for drinks (to prevent water rings on furniture),2,5,2,5
21,CEG202220,cmpl-4zrXTQbtU9GwZ4dGDpd5xEyBovRHV,book,door holder,NA,NA,2,5
22,CEG202221,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,doorstop,NA,NA,2,5
23,CEG202222,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,hold open window,NA,NA,2,5
24,CEG202223,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,coaster for hot beverage,NA,NA,2,5
25,CEG202224,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,level a table or shelf,2,4,3,4
26,CEG202225,cmpl-4zrXXun99WGqMfqFcnvX9fpzWmy05,book,used as an improvised weapon in self-defense or attack,NA,NA,2,3
27,CEG202226,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,Make a book into a lampshade,NA,NA,4,3
28,CEG202227,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,Turn an old book into a secret compartment,NA,NA,3,4
29,CEG202228,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,Use books as coasters for your drinks,NA,NA,2,5
30,CEG202229,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,Build a fort out of old books,NA,NA,4,3
31,CEG202230,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,Donate books to your local library or hospital waiting room,NA,NA,1,5
32,CEG202231,cmpl-4zrXajQqVizh2rVJ8hn6PxNaA8Q24,book,Give new twist to old favorite by reading it in character voices,NA,NA,1,5
33,CEG202232,cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,doorstop,NA,NA,2,5
34,CEG202233,cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,start a fire,NA,NA,2,4
35,CEG202234,cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,paperweight,NA,NA,2,5
36,CEG202235,cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,prop up a wobbly table or chair,2,4,3,4
37,CEG202236,cmpl-4zrXf5f89HctStj42UI8NCmMxujME,book,weapon (for self-defense or attack),NA,NA,3,3
38,CEG202237,cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,doorstop,NA,NA,2,5
39,CEG202238,cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,paperweight,NA,NA,2,5
40,CEG202239,cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,prop up a wobbly table leg,NA,NA,3,4
41,CEG202240,cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,make a small shelf or ledge,NA,NA,3,4
42,CEG202241,cmpl-4zrXkWn3QroeYera2G3vBEECCSUZR,book,hold open window or door,NA,NA,2,5
43,CEG202242,cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,doorstop,NA,NA,2,5
44,CEG202243,cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,level a table or shelf,2,4,3,4
45,CEG202244,cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,paperweight,NA,NA,2,5
46,CEG202245,cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,make a impromptu stool or chair,3,3,3,3
47,CEG202246,cmpl-4zrXnYW4L6EpsvEUL9J88oKsjzqy7,book,used in place of a cutting board when slicing vegetables or meat,NA,NA,4,4
48,CEG202247,cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,doorstop,NA,NA,2,5
49,CEG202248,cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,keep a table level,NA,NA,3,4
50,CEG202249,cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,make paperweight,NA,NA,2,5
51,CEG202250,cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,coaster for hot drinks,NA,NA,2,5
52,CEG202251,cmpl-4zrXsIbRn4NTwafnBiFtZpy7tUdHA,book,hold open window or door,NA,NA,2,5
54,CEG202252,cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,doorstop,NA,NA,2,5
55,CEG202253,cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,start a fire in an emergency situation,NA,NA,2,4
56,CEG202254,cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,coaster for your beverage,NA,NA,2,5
57,CEG202255,cmpl-4zrXwohDOcU3F1Hq56ynSVY02H2j0,book,level a table or surface,NA,NA,3,4
