target object,alternate use,utility_r1,utility_r2,mean_utility
belt,whip,5,5.0,5.0
belt,headband,5,4.0,4.5
belt,carry head,5,4.0,4.5
belt,dog leash,5,5.0,5.0
belt,walking dog,5,5.0,5.0
belt,fishing rod,2,3.0,2.5
belt,unfortunately seriously injure,5,5.0,5.0
belt,very straps leather chair,2,4.0,3.0
belt,highest pile,2,3.0,2.5
belt,very long rope that makes all straps together,4,5.0,4.5
belt,handcuffs,5,5.0,5.0
belt,collar dog,5,5.0,5.0
belt,hair band,4,4.0,4.0
belt,fix curtain,5,4.0,4.5
belt,throw,5,5.0,5.0
belt,guitar strap,4,5.0,4.5
belt,capture,4,5.0,4.5
belt,hang,4,4.0,4.0
belt,sound,4,4.0,4.0
belt,tool extra strength,3,4.0,3.5
belt,strangle yourself,5,4.0,4.5
belt,art,3,3.0,3.0
belt,cord,4,5.0,4.5
belt,close suitcase,5,5.0,5.0
belt,keep suitcase closed,5,5.0,5.0
belt,tie suitcase closed,5,5.0,5.0
belt,buttons,3,5.0,4.0
belt,pinchers,1,3.0,2.0
belt,save someone life,4,4.0,4.0
belt,hang up clock,4,4.0,4.0
belt,lay color,3,2.0,2.5
belt,clamps,4,5.0,4.5
belt,hitting children,5,5.0,5.0
belt,watching playing pretend monocle,4,3.0,3.5
belt,chain straps,5,5.0,5.0
belt,chain,5,5.0,5.0
belt,accentuate dress,5,5.0,5.0
belt,color,4,4.0,4.0
belt,artwork,3,3.0,3.0
belt,close gap,3,3.0,3.0
belt,blow whistle heaps belt indian cobra comes up starts dancing,1,2.0,1.5
belt,hoist pants,5,5.0,5.0
belt,keep your pants closed,5,5.0,5.0
belt,braces,4,3.0,3.5
belt,attach tree to pole,5,5.0,5.0
belt,bondage,5,5.0,5.0
belt,bookmark,5,5.0,5.0
belt,stop bleeding,5,4.0,4.5
belt,keep pants up,5,5.0,5.0
belt,blindfold,5,3.0,4.0
belt,beams hold together,4,5.0,4.5
belt,bracelet,4,4.0,4.0
belt,demarcation,4,5.0,4.5
belt,accessory outfit,5,5.0,5.0
belt,accessory,5,5.0,5.0
belt,nan,5,5.0,5.0
belt,sister spanking,5,5.0,5.0
belt,band hold together otherwise pants example example rolled up towel,5,5.0,5.0
belt,poke holes,3,3.0,3.0
belt,pants,5,5.0,5.0
belt,build bridge table table guinea pig,3,4.0,3.5
belt,decorate bicycle,4,4.0,4.0
belt,secure bicycle,3,3.0,3.0
belt,fashion item does,5,5.0,5.0
belt,tie together back of bicycle rack,5,5.0,5.0
belt,bind together,4,5.0,4.5
belt,elastic,1,3.0,2.0
belt,cloth bucket,5,5.0,5.0
belt,pants so that they do not fall down,5,5.0,5.0
belt,tie things together,5,5.0,5.0
belt,thing between your hot pan,5,3.0,4.0
belt,thing slat,2,4.0,3.0
belt,hanging thing curtains,4,4.0,4.0
belt,door open holder,4,5.0,4.5
belt,dance partners tie together for exercise,5,5.0,5.0
belt,dance,3,5.0,4.0
belt,gift ribbon,4,4.0,4.0
belt,things hold together,5,5.0,5.0
belt,hang up lamp,3,4.0,3.5
belt,tie together door barricading,4,5.0,4.5
belt,suffocate,5,4.0,4.5
belt,pieces of cut confetti leather,5,4.0,4.5
belt,noose,5,5.0,5.0
belt,skipping rope,4,4.0,4.0
belt,tearing sports belts,4,4.0,4.0
belt,game of skipping rope,5,4.0,4.5
belt,tension between heights you have clothesline,5,4.0,4.5
belt,spanking material,5,5.0,5.0
belt,bag decoration,4,3.0,3.5
belt,tension strap,4,5.0,4.5
belt,garland,4,4.0,4.0
belt,sling broken wrist,5,5.0,5.0
belt,tow rope,4,4.0,4.0
belt,beat,5,5.0,5.0
belt,ornamental object,4,3.0,3.5
belt,sexy buttocks,5,4.0,4.5
belt,sex toy,5,5.0,5.0
belt,swing tree,4,5.0,4.5
belt,sand,3,2.0,2.5
belt,attach bag to bicycle,5,5.0,5.0
belt,tie wrap,5,5.0,5.0
belt,strangle belt,5,5.0,5.0
belt,lasso,3,4.0,3.5
belt,strangle,5,5.0,5.0
belt,weapon,5,5.0,5.0
belt,decoration,4,3.0,3.5
belt,decorate,4,3.0,3.5
belt,feather,1,2.0,1.5
belt,bags handle,5,4.0,4.5
belt,fasten,4,5.0,4.5
belt,tie down pull,4,5.0,4.5
belt,tie,4,5.0,4.5
belt,fix,4,5.0,4.5
belt,string,1,3.0,2.0
belt,tug of war,5,5.0,5.0
belt,pulling rope,5,5.0,5.0
belt,rope,4,5.0,4.5
belt,fasten belt,4,5.0,4.5
belt,swing set,2,3.0,2.5
belt,phone case,1,2.0,1.5
belt,shoes,1,1.0,1.0
belt,measure size,5,5.0,5.0
belt,put down,3,5.0,4.0
belt,wall bracket,1,3.0,2.0
belt,murder weapon,5,4.0,4.5
belt,fashion statement,5,5.0,5.0
belt,mobile above baby bed holes with toys,4,3.0,3.5
