response_id,source,object,original_translated,text,utility_rater02,cluster,center_dist,number_words,cluster_response
4007,additional,belt,repair broken computer,repair broken computer,1,1,0.098303117,3,repair broken computer
4004,additional,belt,fix broken computer,fix broken computer,1,1,0.1097909361124038,3,repair broken computer
3998,additional,belt,repair computer,repair computer,1,1,0.1802603006362915,2,repair broken computer
4006,additional,belt,repair broken phone,repair broken phone,1,2,0.075296842,3,repair broken phone
4003,additional,belt,fix broken phone,fix broken phone,1,2,0.1155829131603241,3,repair broken phone
3997,additional,belt,repair phone,repair phone,1,2,0.1568873971700668,2,repair broken phone
4008,additional,belt,repair broken TV,repair broken tv,1,3,0.09446685,3,repair broken tv
4001,additional,belt,fix broken TV,fix broken tv,1,3,0.1073318421840667,3,repair broken tv
4005,additional,belt,repair TV,repair tv,1,3,0.1771797239780426,2,repair broken tv
3329,additional,belt,diagnose disease,diagnose disease,1,4,0.2105690836906433,2,diagnose disease
4241,additional,belt,diagnose illness,diagnose illness,1,4,0.2139477729797363,2,diagnose disease
6752,additional,belt,diagnose medical conditions,diagnose medical conditions,1,4,0.2307401895523071,3,diagnose disease
4248,additional,belt,diagnose car problem,diagnose car problem,1,5,0.2505331635475158,3,diagnose car problem
4247,additional,belt,diagnose car issue,diagnose car issue,1,5,0.2636994421482086,3,diagnose car problem
3688,additional,belt,fix car,fix car,1,5,0.2742471694946289,2,diagnose car problem
3314,additional,belt,repair car engine,repair car engine,1,5,0.2833507061004638,3,diagnose car problem
6753,additional,belt,start car engine,start car engine,1,5,0.3797658681869507,3,diagnose car problem
4046,additional,belt,understand math,understand math,2,6,0.2191558182239532,2,understand math
4047,additional,belt,understand maths,understand maths,2,6,0.2690407633781433,2,understand math
3319,additional,belt,solve math problem,solve math problem,1,6,0.3469654321670532,3,understand math
4029,additional,belt,learn calculus,learn calculus,1,6,0.39859885,2,understand math
4044,additional,belt,understand quantum physics,understand quantum physics,1,7,0.1762370467185974,3,understand quantum physics
4259,additional,belt,learn quantum mechanics,learn quantum mechanics,1,7,0.1762370467185974,3,understand quantum physics
4050,additional,belt,understand history,understand history,1,8,0.334563136,2,understand history
4048,additional,belt,understand geography,understand geography,1,8,0.3546154797077179,2,understand history
4049,additional,belt,understand chemistry,understand chemistry,2,8,0.3688088357448578,2,understand history
3297,additional,belt,freeze water,freeze water,1,9,0.2311924993991851,2,freeze water
6762,additional,belt,freeze food,freeze food,1,9,0.2311924993991851,2,freeze water
4010,additional,belt,solve global warming,solve global warming,1,10,0.2954016923904419,3,solve global warming
4253,additional,belt,solve world hunger,solve world hunger,1,10,0.2954016923904419,3,solve global warming
208,additional,belt,DNA helix model,dna helix model,1,11,0.2833680808544159,3,dna helix model
3309,additional,belt,analyze DNA,analyze dna,1,11,0.2833680808544159,2,dna helix model
3999,additional,belt,solve jigsaw puzzle,solve jigsaw puzzle,1,12,0.2907316386699676,3,solve jigsaw puzzle
4249,additional,belt,solve crossword puzzle,solve crossword puzzle,1,12,0.3228369951248169,3,solve jigsaw puzzle
3300,additional,belt,solve rubik's cube,solve rubik cube,1,12,0.3442075550556183,3,solve jigsaw puzzle
1468,human,belt,measure something with it,measure,4,13,0.2739143967628479,1,measure
667,human,belt,to measure lengths,measure lengths,4,13,0.2799592614173889,2,measure
764,human,belt,measure the size of someone,measure size,5,13,0.3056274354457855,2,measure
1946,human,belt,measuring tape,measuring tape,4,13,0.3264326751232147,2,measure
871,human,belt,use as a weight measurement,measurement weight,5,13,0.3495167195796966,2,measure
6764,additional,belt,measure wind speed,measure wind speed,2,14,0.3463518023490906,3,measure wind speed
6749,additional,belt,measure temperature,measure temperature,1,14,0.3550284206867218,2,measure wind speed
6747,additional,belt,measure heart rate,measure heart rate,1,14,0.3613793849945068,3,measure wind speed
6748,additional,belt,measure air pressure,measure air pressure,1,14,0.3779723346233368,3,measure wind speed
6746,additional,belt,detect storms,detect storms,2,15,0.2429133802652359,2,detect storms
6744,additional,belt,detect hurricanes,detect hurricanes,2,15,0.2876612544059753,2,detect storms
6743,additional,belt,detect tornadoes,detect tornadoes,2,15,0.3347425758838653,2,detect storms
6745,additional,belt,detect floods,detect floods,2,15,0.3360802233219147,2,detect storms
6742,additional,belt,detect earthquakes,detect earthquakes,2,15,0.3947063982486725,2,detect storms
3305,additional,belt,predict weather,predict weather,1,16,0.2695651352405548,2,predict weather
6737,additional,belt,predict future,predict future,1,16,0.3607484996318817,2,predict weather
6727,additional,belt,check weather in real time,check weather real time,1,16,0.3616101145744324,4,predict weather
2618,additional,belt,phone charger,phone charger,1,17,0.2716128528118133,2,phone charger
6719,additional,belt,charge your device,charge device,1,17,0.2911699712276459,2,phone charger
2617,additional,belt,charger,charger,1,17,0.3063413798809051,1,phone charger
3333,additional,belt,charge phone,charge phone,1,17,0.3102446496486664,2,phone charger
6720,additional,belt,charge your devices,charge devices,1,17,0.3241668343544006,2,phone charger
316,additional,belt,laptop charger,laptop charger,1,17,0.3809610605239868,2,phone charger
240,additional,belt,Substitute for a phone charger,substitute phone charger,1,17,0.3819887936115265,3,phone charger
4022,additional,belt,code computer program,code computer program,1,18,0.2871869802474975,3,code computer program
4036,additional,belt,write computer code,write computer code,1,18,0.3348596394062042,3,code computer program
3294,additional,belt,write code,write code,1,18,0.3526946604251861,2,code computer program
6723,additional,belt,run it like a computer program,run like computer program,1,18,0.3574152588844299,4,code computer program
6726,additional,belt,program it to perform tasks,program perform tasks,1,18,0.3674586713314056,3,code computer program
3304,additional,belt,program robot,program robot,1,18,0.3913500308990478,2,code computer program
3273,additional,belt,program,program,1,18,0.4365772604942322,1,code computer program
3335,additional,belt,download software,download software,1,18,0.4607471227645874,2,code computer program
317,additional,belt,laptop,laptop,1,19,0.3614365756511688,1,laptop
3686,additional,belt,build computer,build computer,1,19,0.3627037107944488,2,laptop
3315,additional,belt,manufacture electronics,manufacture electronics,1,19,0.3761028349399566,2,laptop
2897,additional,belt,battery,battery,1,19,0.3912583887577057,1,laptop
3301,additional,belt,generate solar energy,generate solar energy,1,20,0.2542887926101684,3,generate solar energy
3334,additional,belt,create electricity,create electricity,1,20,0.2542887926101684,2,generate solar energy
3338,additional,belt,invent machine,invent machine,1,21,0.2613138258457184,2,invent machine
3696,additional,belt,invent gadget,invent gadget,2,21,0.3002000451087951,2,invent machine
4267,additional,belt,create artificial intelligence,create artificial intelligence,1,21,0.3701264262199402,3,invent machine
